Date,Forecasted_ZHVI
2024-09-01,592399.1210345577
2024-10-01,592946.9634662401
2024-11-01,593529.683285804
2024-12-01,594142.8565075827
2025-01-01,594780.7569249846
2025-02-01,595438.4373007708
2025-03-01,596111.8108016991
2025-04-01,596797.6040652428
2025-05-01,597493.2155946766
2025-06-01,598196.5857986858
2025-07-01,598906.0861545567
2025-08-01,599620.4296763979
