Date,Forecasted_ZHVI
2024-09-01,393743.3286265717
2024-10-01,392836.9542798782
2024-11-01,392014.50826319394
2024-12-01,391256.980650998
2025-01-01,390537.07944721385
2025-02-01,389830.1470018494
2025-03-01,389119.40087011445
2025-04-01,388396.7222293317
2025-05-01,387660.8198563887
2025-06-01,386914.4484657341
2025-07-01,386161.8404086687
2025-08-01,385406.9244933329
