Date,Forecasted_ZHVI
2024-09-01,774524.9650181663
2024-10-01,775594.488746372
2024-11-01,776578.8824016287
2024-12-01,777484.922018099
2025-01-01,778318.8442830691
2025-02-01,779086.3894669343
2025-03-01,779792.8409361197
2025-04-01,780443.0615209211
2025-05-01,781041.5269886013
2025-06-01,781592.3568521547
2025-07-01,782099.342726809
2025-08-01,782565.9744294563
